WKT,이름,설명
"POINT (126.9766975 37.5753089)",점 1,
"POINT (126.9765017 37.5753812)",점 2,
"POINT (126.9762844 37.5755151)",점 3,
"POINT (126.975988 37.5756657)",점 4,
"POINT (126.9756341 37.5757909)",점 6,
"POINT (126.9750548 37.5758546)",점 7,
"POINT (126.9745666 37.5758674)",점 8,
"POINT (126.9744164 37.5759482)",점 9,
"POINT (126.9743413 37.5761565)",점 10,
"POINT (126.9742072 37.576909)",점 11,
"POINT (126.9740735 37.5775647)",점 12,
"POINT (126.9739018 37.5791122)",점 13,
"POINT (126.9737516 37.5806086)",점 14,
"POINT (126.9737285 37.5814724)",점 15,
"POINT (126.9737285 37.5823992)",점 16,
"POINT (126.9736963 37.5831644)",점 17,
"POINT (126.9738036 37.583462)",점 18,
"POINT (126.9742006 37.5835555)",점 19,
"POINT (126.9749516 37.5836915)",점 20,
"POINT (126.9755631 37.5837595)",점 21,
"POINT (126.9763034 37.5838021)",점 22,
"POINT (126.9768399 37.5838276)",점 23,
"POINT (126.9778269 37.5836745)",점 24,
"POINT (126.978814 37.583513)",점 25,
"POINT (126.9792538 37.583462)",점 26,
"POINT (126.9797903 37.5831219)",점 27,
"POINT (126.9800478 37.5827223)",점 28,
"POINT (126.9801121 37.5821696)",점 29,
"POINT (126.9801551 37.5816)",점 30,
"POINT (126.9801014 37.5811408)",점 31,
"POINT (126.9800263 37.5806817)",점 32,
"POINT (126.9798694 37.5802934)",점 33,
"POINT (126.9796763 37.5796047)",점 34,
"POINT (126.9795154 37.579137)",점 35,
"POINT (126.9795154 37.5785418)",점 36,
"POINT (126.9794832 37.5777681)",점 37,
"POINT (126.9794188 37.5772834)",점 38,
"POINT (126.9794081 37.5768072)",점 39,
"POINT (126.9793759 37.5764076)",점 40,
"POINT (126.9793008 37.5763226)",점 41,
"POINT (126.9790648 37.5761525)",점 42,
"POINT (126.9789253 37.5759739)",점 43,
"POINT (126.9787107 37.5758804)",점 44,
"POINT (126.9784425 37.5758464)",점 45,
"POINT (126.9780992 37.5758039)",점 46,
"POINT (126.9776915 37.5757444)",점 47,
